feature,pfi,run,county
PRECIP,0.05773638606753517,12,Kern
cv_mentions_rate,0.054393742056709105,12,Kern
EARTHQUAKE_Total,0.0467551744756497,12,Kern
PESTICIDE_Total,-0.013806637358352414,12,Kern
WIND_AvgMPH,-0.014395345093117184,12,Kern
Num_Articles,-0.032230528914849677,12,Kern
WIND_RunMiles,-0.043607382991809385,12,Kern
AQI_PM25,-0.14359530541013033,12,Kern
AQI_PM10,0.126500373170631,13,Kern
risk_mentions_rate,0.0756805173127939,13,Kern
cv_mentions_rate,0.0710882299194166,13,Kern
PRECIP,0.023528239437688503,13,Kern
EARTHQUAKE_Total,0.019018825490430047,13,Kern
AQI_PM25,0.01575454495408779,13,Kern
PESTICIDE_Total,0.0151390852539659,13,Kern
WIND_AvgMPH,0.01426070184403433,13,Kern
WIND_RunMiles,-0.014708566850486493,13,Kern
Num_Articles,-0.10305947258485115,13,Kern
AQI_PM10,0.2006237591164841,14,Kern
risk_mentions_rate,0.13474479947221796,14,Kern
PESTICIDE_Total,0.061205812591706155,14,Kern
AQI_PM25,0.048877490208903474,14,Kern
PRECIP,0.04221865509064621,14,Kern
EARTHQUAKE_Total,-0.0007718588962793982,14,Kern
WIND_AvgMPH,-0.006209960536173065,14,Kern
WIND_RunMiles,-0.024930975555055246,14,Kern
cv_mentions_rate,-0.02972141570985881,14,Kern
Num_Articles,-0.030866308690661093,14,Kern
PESTICIDE_Total,0.13339296291656244,15,Kern
cv_mentions_rate,0.09545864901045809,15,Kern
AQI_PM10,0.07614139632416439,15,Kern
EARTHQUAKE_Total,0.028100675855644075,15,Kern
risk_mentions_rate,0.001984447013270274,15,Kern
PRECIP,-0.0009871868152376284,15,Kern
WIND_RunMiles,-0.05862000332856804,15,Kern
WIND_AvgMPH,-0.060652012272660316,15,Kern
Num_Articles,-0.06556357652421063,15,Kern
AQI_PM25,-0.08555061188970436,15,Kern
AQI_PM25,0.16175764738216036,16,Kern
EARTHQUAKE_Total,0.02543239807504405,16,Kern
PRECIP,0.012755854841949299,16,Kern
PESTICIDE_Total,-0.005603764896381591,16,Kern
WIND_RunMiles,-0.007911723893721967,16,Kern
WIND_AvgMPH,-0.015797882545917075,16,Kern
cv_mentions_rate,-0.03365317212845942,16,Kern
AQI_PM10,-0.03706207589228494,16,Kern
Num_Articles,-0.04554973741241242,16,Kern
risk_mentions_rate,-0.05040200671228223,16,Kern
PESTICIDE_Total,0.11955684863266036,17,Kern
AQI_PM10,0.05454421596301312,17,Kern
Num_Articles,0.05230584033260954,17,Kern
AQI_PM25,0.02667294576800089,17,Kern
EARTHQUAKE_Total,0.019792012356714517,17,Kern
risk_mentions_rate,0.009420955836117573,17,Kern
cv_mentions_rate,-0.012084005463434688,17,Kern
WIND_RunMiles,-0.0218913048701731,17,Kern
WIND_AvgMPH,-0.03342876593717131,17,Kern
PRECIP,-0.04747538385439953,17,Kern
AQI_PM25,0.16782080175557168,18,Kern
risk_mentions_rate,0.08154285932471761,18,Kern
EARTHQUAKE_Total,0.06928858985875508,18,Kern
AQI_PM10,0.031798114741094174,18,Kern
Num_Articles,0.01821506983076987,18,Kern
PRECIP,-0.0013500459832831435,18,Kern
WIND_AvgMPH,-0.004927635545093012,18,Kern
cv_mentions_rate,-0.008168026062384814,18,Kern
WIND_RunMiles,-0.02395651782837782,18,Kern
PESTICIDE_Total,-0.058515092186173845,18,Kern
AQI_PM10,0.1072193779518022,19,Kern
risk_mentions_rate,0.10633535161008484,19,Kern
PESTICIDE_Total,0.08597235481571147,19,Kern
EARTHQUAKE_Total,0.006656401841781123,19,Kern
WIND_RunMiles,-0.005862737137991236,19,Kern
PRECIP,-0.016051293794757227,19,Kern
Num_Articles,-0.016810405099189296,19,Kern
WIND_AvgMPH,-0.018231717523835955,19,Kern
cv_mentions_rate,-0.05339924829605924,19,Kern
AQI_PM25,-0.05978352655099267,19,Kern
AQI_PM10,0.10824890711853657,20,Kern
PESTICIDE_Total,0.062385658104320674,20,Kern
risk_mentions_rate,0.043362668293333184,20,Kern
EARTHQUAKE_Total,0.03096879718939821,20,Kern
WIND_AvgMPH,0.025587811303623753,20,Kern
PRECIP,0.014466987065951453,20,Kern
cv_mentions_rate,-0.024150510431905137,20,Kern
WIND_RunMiles,-0.03948678344069423,20,Kern
AQI_PM25,-0.0526820827758403,20,Kern
Num_Articles,-0.058293258670164216,20,Kern
PESTICIDE_Total,0.06680062366064998,21,Kern
risk_mentions_rate,0.0663652093835056,21,Kern
AQI_PM25,0.05992825431316573,21,Kern
cv_mentions_rate,0.04983940230541889,21,Kern
PRECIP,0.03690624533033998,21,Kern
AQI_PM10,0.028660475034855415,21,Kern
EARTHQUAKE_Total,0.005214712248256204,21,Kern
Num_Articles,-0.00932264022856627,21,Kern
WIND_AvgMPH,-0.03187919965182795,21,Kern
WIND_RunMiles,-0.04539441824617052,21,Kern
AQI_PM10,0.06723914890756666,22,Kern
