feature,pfi,run,county
risk_mentions_rate,-0.041008074558227026,10,Fresno
WIND_AvgMPH,-0.041403191612729484,10,Fresno
AQI_PM10,-0.056848355720468535,10,Fresno
WIND_RunMiles,-0.0673770980338394,10,Fresno
FIRE_Acres_Burned,0.10526905577441464,11,Fresno
risk_mentions_rate,0.05358332921136666,11,Fresno
PRECIP,0.02987848958520356,11,Fresno
PESTICIDE_Total,0.02470876563204738,11,Fresno
AQI_PM10,-5.971935531656758e-05,11,Fresno
EARTHQUAKE_Total,-0.0017405782128858682,11,Fresno
AQI_PM25,-0.00984556946089088,11,Fresno
cv_mentions_rate,-0.011892115819649163,11,Fresno
WIND_RunMiles,-0.03893136223150606,11,Fresno
Num_Articles,-0.05257271750141451,11,Fresno
WIND_AvgMPH,-0.10610431314049418,11,Fresno
FIRE_Acres_Burned,0.11248960002970892,12,Fresno
risk_mentions_rate,0.029091361958579476,12,Fresno
PRECIP,0.028305969788559815,12,Fresno
EARTHQUAKE_Total,0.015755619531371723,12,Fresno
cv_mentions_rate,0.015156955870414046,12,Fresno
PESTICIDE_Total,-0.0065264243005502265,12,Fresno
AQI_PM25,-0.010468631377053061,12,Fresno
AQI_PM10,-0.020347738127478643,12,Fresno
Num_Articles,-0.05023495693520724,12,Fresno
WIND_AvgMPH,-0.05514176854846414,12,Fresno
WIND_RunMiles,-0.07061906590092676,12,Fresno
FIRE_Acres_Burned,0.20564085129911291,13,Fresno
EARTHQUAKE_Total,0.031151247099203083,13,Fresno
AQI_PM25,0.025085354699489637,13,Fresno
PRECIP,0.010646425171287444,13,Fresno
PESTICIDE_Total,-0.0035157487442393776,13,Fresno
cv_mentions_rate,-0.0067301910690428235,13,Fresno
Num_Articles,-0.009406234984422113,13,Fresno
AQI_PM10,-0.024216122104896487,13,Fresno
WIND_AvgMPH,-0.046906680211151075,13,Fresno
WIND_RunMiles,-0.06752677195131124,13,Fresno
risk_mentions_rate,-0.09760294482254345,13,Fresno
FIRE_Acres_Burned,0.14229231152794053,14,Fresno
risk_mentions_rate,0.04116238445786169,14,Fresno
cv_mentions_rate,0.028700235434372834,14,Fresno
PRECIP,0.016138420276477217,14,Fresno
AQI_PM25,0.011195301161579296,14,Fresno
EARTHQUAKE_Total,0.003892434058975769,14,Fresno
PESTICIDE_Total,0.0004993840245587355,14,Fresno
AQI_PM10,-0.012983510177328683,14,Fresno
Num_Articles,-0.017550645841228396,14,Fresno
WIND_RunMiles,-0.0435852218796563,14,Fresno
WIND_AvgMPH,-0.0691692268315845,14,Fresno
FIRE_Acres_Burned,0.1300977420523875,15,Fresno
EARTHQUAKE_Total,0.03442196138768294,15,Fresno
PESTICIDE_Total,0.03099813712256555,15,Fresno
cv_mentions_rate,0.028653135973928268,15,Fresno
AQI_PM10,-0.0022010502200884297,15,Fresno
AQI_PM25,-0.008149072007860192,15,Fresno
WIND_RunMiles,-0.024869028548137107,15,Fresno
PRECIP,-0.0308283626504246,15,Fresno
risk_mentions_rate,-0.037726949913354735,15,Fresno
WIND_AvgMPH,-0.06701970499786142,15,Fresno
Num_Articles,-0.10444578535362248,15,Fresno
FIRE_Acres_Burned,0.08963554644916605,16,Fresno
PESTICIDE_Total,0.0378140643419389,16,Fresno
EARTHQUAKE_Total,0.024774795083585543,16,Fresno
cv_mentions_rate,0.02248735809676633,16,Fresno
PRECIP,0.017540907757214175,16,Fresno
risk_mentions_rate,0.004863113085734838,16,Fresno
AQI_PM10,-0.01993859165818923,16,Fresno
AQI_PM25,-0.02163604378137618,16,Fresno
WIND_AvgMPH,-0.048984250040739696,16,Fresno
Num_Articles,-0.05614173715604598,16,Fresno
WIND_RunMiles,-0.09288013569796255,16,Fresno
FIRE_Acres_Burned,0.08426704125136525,17,Fresno
EARTHQUAKE_Total,0.026259523218534364,17,Fresno
AQI_PM25,0.02548579703510301,17,Fresno
PRECIP,0.022852547135751078,17,Fresno
cv_mentions_rate,0.007172201513219845,17,Fresno
PESTICIDE_Total,-0.0037899876543360245,17,Fresno
AQI_PM10,-0.0404219982266365,17,Fresno
WIND_RunMiles,-0.05387770845568279,17,Fresno
Num_Articles,-0.08654737572007393,17,Fresno
risk_mentions_rate,-0.09323590320491454,17,Fresno
WIND_AvgMPH,-0.11658187795969582,17,Fresno
FIRE_Acres_Burned,0.0744557309409935,18,Fresno
PRECIP,0.028880270963026256,18,Fresno
risk_mentions_rate,0.020439252032852906,18,Fresno
