seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio
12,64,0.3,0.0005,4,2,9.866641998291016,0.08570816367864609,-9.78093383461237,0.41982710361480713,0.32116708159446716,1.3071921989343742
12,32,0.4,0.0001,4,1,9.49924373626709,0.13300679624080658,-9.366236940026283,0.23585578799247742,0.32116708159446716,0.7343709910167224
12,8,0.0,0.0005,4,1,9.325858116149902,0.15603233873844147,-9.16982577741146,0.18918944895267487,0.32116708159446716,0.5890686181579516
12,16,0.3,0.0001,4,1,9.797115325927734,0.22733984887599945,-9.569775477051735,0.0703582614660263,0.32116708159446716,0.2190705881708843
12,64,0.3,0.001,8,2,10.478887557983398,0.23182471096515656,-10.247062847018242,0.10085437446832657,0.32116708159446716,0.31402463156443244
12,64,0.2,0.0001,8,1,9.274284362792969,0.23999829590320587,-9.034286066889763,0.4894618093967438,0.32116708159446716,1.5240098921930605
12,16,0.3,0.001,8,2,10.302391052246094,0.2901531159877777,-10.012237936258316,0.0623321570456028,0.32116708159446716,0.1940801552143774
12,64,0.3,0.001,16,2,9.598478317260742,0.315416544675827,-9.283061772584915,0.1696346551179886,0.32116708159446716,0.5281819490211133
12,16,0.3,0.0005,16,1,9.680867195129395,0.32673949003219604,-9.354127705097198,0.3176024556159973,0.32116708159446716,0.9889010232282434
12,16,0.3,0.0005,8,2,9.888040542602539,0.3422110378742218,-9.545829504728317,0.2331577092409134,0.32116708159446716,0.7259701339358251
12,64,0.2,0.005,16,2,8.945600509643555,0.3775511085987091,-8.568049401044846,0.21642912924289703,0.32116708159446716,0.6738832889361271
12,32,0.3,0.001,8,2,10.560746192932129,0.3853971064090729,-10.175349086523056,0.24202406406402588,0.32116708159446716,0.7535768076306961
12,16,0.2,0.0005,16,1,9.17540454864502,0.46097123622894287,-8.714433312416077,0.3138207197189331,0.32116708159446716,0.9771260434317792
12,32,0.3,0.0005,8,2,10.686408042907715,0.5056500434875488,-10.180757999420166,0.23868873715400696,0.32116708159446716,0.7431917865586101
12,32,0.0,0.0001,8,2,9.834497451782227,0.5424292683601379,-9.292068183422089,0.11609939485788345,0.32116708159446716,0.3614921998901507
12,64,0.3,0.005,16,2,8.164811134338379,0.618398129940033,-7.546413004398346,0.3452278673648834,0.32116708159446716,1.074916724500419
12,32,0.1,0.0005,16,1,8.999855041503906,0.71650630235672,-8.283348739147186,0.22795848548412323,0.32116708159446716,0.7097816013783224
12,32,0.0,0.0001,4,1,9.253459930419922,0.7555699944496155,-8.497889935970306,0.3353297710418701,0.32116708159446716,1.0440975749354224
9,64,0.3,0.001,16,2,10.022777557373047,0.7564390897750854,-9.266338467597961,1.7492926120758057,1.7517644166946411,0.9985889628792098
12,32,0.1,0.005,4,2,9.425806999206543,0.7765817642211914,-8.649225234985352,0.1513584405183792,0.32116708159446716,0.4712763206208575
9,64,0.3,0.0005,4,2,10.24053955078125,0.7991691827774048,-9.441370368003845,2.013370990753174,1.7517644166946411,1.1493389017183895
12,16,0.0,0.0001,4,1,9.712831497192383,0.8097362518310547,-8.903095245361328,0.5952146649360657,0.32116708159446716,1.8532866506151906
12,32,0.2,0.005,8,2,8.214227676391602,0.823054850101471,-7.391172826290131,0.3881353735923767,0.32116708159446716,1.208515429618249
12,8,0.2,0.0005,4,1,9.70893669128418,0.8365318775177002,-8.87240481376648,0.16344816982746124,0.32116708159446716,0.5089194353792609
12,16,0.2,0.005,8,2,8.624591827392578,0.8430865406990051,-7.781505286693573,0.7740993499755859,0.32116708159446716,2.410269901051159
12,64,0.1,0.0001,8,1,9.782517433166504,0.8698204159736633,-8.91269701719284,0.5799474120140076,0.32116708159446716,1.805749858095041
12,16,0.1,0.0005,16,1,9.765829086303711,0.8940579891204834,-8.871771097183228,0.5279213190078735,0.32116708159446716,1.6437591187333198
9,64,0.3,0.001,4,2,9.591338157653809,0.8944481611251831,-8.696889996528625,1.975242257118225,1.7517644166946411,1.1275729991394954
12,64,0.0,0.0001,16,1,10.058404922485352,0.9155599474906921,-9.14284497499466,0.2711445093154907,0.32116708159446716,0.8442475111999829
9,16,0.1,0.005,8,2,9.040365219116211,0.9176824688911438,-8.122682750225067,1.5442025661468506,1.7517644166946411,0.8815126916783516
12,16,0.4,0.0005,8,2,8.776338577270508,0.9977521896362305,-7.778586387634277,1.0877642631530762,0.32116708159446716,3.386910818358962
12,64,0.1,0.005,4,2,8.591609001159668,1.0012403726577759,-7.590368628501892,0.23647551238536835,0.32116708159446716,0.7363005922380377
12,8,0.2,0.001,8,2,9.883501052856445,1.0349433422088623,-8.848557710647583,0.03807849809527397,0.32116708159446716,0.1185628922685019
12,8,0.2,0.005,8,2,7.89634895324707,1.0558987855911255,-6.840450167655945,0.6757279634475708,0.32116708159446716,2.103976410324649
12,64,0.2,0.005,4,2,8.315813064575195,1.0879582166671753,-7.22785484790802,0.4378605782985687,0.32116708159446716,1.3633420216192913
12,64,0.0,0.0001,16,2,9.862613677978516,1.1093460321426392,-8.753267645835876,0.10658567398786545,0.32116708159446716,0.33186985870005686
12,8,0.3,0.001,16,1,9.858648300170898,1.1096364259719849,-8.749011874198914,0.17285603284835815,0.32116708159446716,0.5382121728982825
12,8,0.3,0.001,16,2,10.977147102355957,1.1132858991622925,-9.863861203193665,0.02079424262046814,0.32116708159446716,0.06474587157946878
12,8,0.4,0.001,8,1,9.791787147521973,1.139280915260315,-8.652506232261658,0.132796972990036,0.32116708159446716,0.413482516112024
9,32,0.1,0.0001,4,1,9.34821605682373,1.147126317024231,-8.2010897397995,0.710989773273468,1.7517644166946411,0.40587065617819557
9,64,0.0,0.0001,16,1,9.812860488891602,1.1534779071807861,-8.659382581710815,0.5620157122612,1.7517644166946411,0.3208283641938868
12,64,0.4,0.001,4,2,8.888843536376953,1.1744047403335571,-7.714438796043396,0.7227880954742432,0.32116708159446716,2.2505049144074385
