seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio
12,64,0.3,0.0005,4,2,9.866641998291016,0.08570816367864609,-9.78093383461237,0.41982710361480713,0.32116708159446716,1.3071921989343742
12,32,0.4,0.0001,4,1,9.49924373626709,0.13300679624080658,-9.366236940026283,0.23585578799247742,0.32116708159446716,0.7343709910167224
12,8,0.0,0.0005,4,1,9.325858116149902,0.15603233873844147,-9.16982577741146,0.18918944895267487,0.32116708159446716,0.5890686181579516
12,16,0.3,0.0001,4,1,9.797115325927734,0.22733984887599945,-9.569775477051735,0.0703582614660263,0.32116708159446716,0.2190705881708843
12,64,0.3,0.001,8,2,10.478887557983398,0.23182471096515656,-10.247062847018242,0.10085437446832657,0.32116708159446716,0.31402463156443244
