seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio
12,16,0.0,0.005,4,2,0.425223708152771,0.06129132956266403,-0.36393237859010696,0.39221182465553284,0.3633994162082672,1.0792857862786247
12,64,0.0,0.005,16,2,0.7710714936256409,0.07846180349588394,-0.6926096901297569,0.4299270212650299,0.3633994162082672,1.1830702034442322
12,16,0.3,0.005,16,1,1.13437020778656,0.13632531464099884,-0.9980448931455612,0.23419587314128876,0.3633994162082672,0.644458583849428
12,32,0.4,0.005,16,1,1.1541520357131958,0.1369350105524063,-1.0172170251607895,0.25041264295578003,0.3633994162082672,0.6890837788585397
12,32,0.1,0.005,16,1,0.8709959983825684,0.13882523775100708,-0.7321707606315613,0.1940258890390396,0.3633994162082672,0.5339190994402747
