seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio
12,16,0.0,0.005,4,2,0.425223708152771,0.06129132956266403,-0.36393237859010696,0.39221182465553284,0.3633994162082672,1.0792857862786247
12,64,0.0,0.005,16,2,0.7710714936256409,0.07846180349588394,-0.6926096901297569,0.4299270212650299,0.3633994162082672,1.1830702034442322
12,16,0.3,0.005,16,1,1.13437020778656,0.13632531464099884,-0.9980448931455612,0.23419587314128876,0.3633994162082672,0.644458583849428
12,32,0.4,0.005,16,1,1.1541520357131958,0.1369350105524063,-1.0172170251607895,0.25041264295578003,0.3633994162082672,0.6890837788585397
12,32,0.1,0.005,16,1,0.8709959983825684,0.13882523775100708,-0.7321707606315613,0.1940258890390396,0.3633994162082672,0.5339190994402747
12,16,0.2,0.005,4,1,1.115689992904663,0.14010734856128693,-0.9755826443433762,0.2338123470544815,0.3633994162082672,0.6434031994164837
12,16,0.1,0.005,8,1,0.9042816162109375,0.16089516878128052,-0.743386447429657,0.18740259110927582,0.3633994162082672,0.5156931540084639
12,16,0.0,0.005,16,2,0.9251022338867188,0.16787691414356232,-0.7572253197431564,0.17885319888591766,0.3633994162082672,0.4921669956217415
12,32,0.0,0.005,8,1,0.7739220261573792,0.16971032321453094,-0.6042117029428482,0.129058375954628,0.3633994162082672,0.3551419462948822
12,8,0.0,0.005,4,2,1.04839289188385,0.17577150464057922,-0.8726213872432709,0.13606351613998413,0.3633994162082672,0.3744186426045467
12,16,0.4,0.005,16,1,1.4587039947509766,0.17683811485767365,-1.281865879893303,0.12463480234146118,0.3633994162082672,0.34296918702266693
12,32,0.0,0.001,8,1,1.1576213836669922,0.17853040993213654,-0.9790909737348557,0.15855222940444946,0.3633994162082672,0.43630292821819466
12,16,0.4,0.005,4,1,1.249778151512146,0.1819688081741333,-1.0678093433380127,0.1192440539598465,0.3633994162082672,0.32813496291228694
12,32,0.4,0.001,8,1,1.4912246465682983,0.1876768171787262,-1.3035478293895721,0.10041183233261108,0.3633994162082672,0.2763125856951411
12,64,0.1,0.001,8,1,1.3193986415863037,0.19334237277507782,-1.126056268811226,0.09317437559366226,0.3633994162082672,0.25639660230016237
12,16,0.3,0.0001,16,1,3.535874366760254,0.19433683156967163,-3.3415375351905823,0.12602734565734863,0.3633994162082672,0.3468011780875325
12,32,0.0,0.005,16,1,0.7925016283988953,0.19748204946517944,-0.5950195789337158,0.1134355440735817,0.3633994162082672,0.31215114558293855
12,64,0.3,0.005,8,1,0.831159770488739,0.20012237131595612,-0.6310373991727829,0.12412989139556885,0.3633994162082672,0.341579776574074
12,32,0.3,0.005,16,1,1.693425178527832,0.20496174693107605,-1.488463431596756,0.0744883194565773,0.3633994162082672,0.2049764422678308
12,64,0.2,0.0005,8,1,1.6882599592208862,0.205537348985672,-1.4827226102352142,0.12332151085138321,0.3633994162082672,0.3393552805839034
12,8,0.0,0.005,8,1,0.882434606552124,0.208443284034729,-0.673991322517395,0.24758778512477875,0.3633994162082672,0.6813103546178625
12,8,0.0,0.005,8,2,0.9637710452079773,0.20847313106060028,-0.755297914147377,0.09705609828233719,0.3633994162082672,0.26707829994617693
12,32,0.4,0.001,16,2,2.233502149581909,0.21213868260383606,-2.021363466978073,0.1048654094338417,0.3633994162082672,0.2885679083582855
12,32,0.0,0.001,4,1,1.1521583795547485,0.21302634477615356,-0.939132034778595,0.09210704267024994,0.3633994162082672,0.25345952294392965
12,16,0.4,0.001,4,2,1.988068699836731,0.21649718284606934,-1.7715715169906616,0.06433446705341339,0.3633994162082672,0.17703514145587612
12,32,0.0,0.0005,8,1,1.5809125900268555,0.2183329313993454,-1.36257965862751,0.09051642566919327,0.3633994162082672,0.2490824740822301
12,16,0.2,0.005,16,1,1.0887621641159058,0.22031903266906738,-0.8684431314468384,0.29502472281455994,0.3633994162082672,0.8118469916459052
12,32,0.2,0.001,8,1,1.6630513668060303,0.22154216468334198,-1.4415092021226883,0.16652439534664154,0.3633994162082672,0.4582406793169008
12,8,0.0,0.005,4,1,0.7926484942436218,0.22239355742931366,-0.5702549368143082,0.09814298152923584,0.3633994162082672,0.2700691777473558
12,8,0.2,0.005,4,1,0.9362701177597046,0.2235690802335739,-0.7127010375261307,0.14588524401187897,0.3633994162082672,0.40144600542855835
12,64,0.2,0.005,16,1,0.9210810661315918,0.22390776872634888,-0.6971732974052429,0.16398242115974426,0.3633994162082672,0.4512456923314499
12,16,0.1,0.001,8,1,1.6422233581542969,0.22546932101249695,-1.4167540371418,0.04453910514712334,0.3633994162082672,0.12256240148057257
12,64,0.3,0.0005,4,2,2.9424009323120117,0.22602194547653198,-2.7163789868354797,0.04496849700808525,0.3633994162082672,0.12374399903359623
12,64,0.3,0.001,16,2,2.866323232650757,0.22626091539859772,-2.640062317252159,0.04433578625321388,0.3633994162082672,0.12200290995460675
12,8,0.3,0.005,8,1,1.5535460710525513,0.22627773880958557,-1.3272683322429657,0.043986473232507706,0.3633994162082672,0.12104167280031813
12,16,0.4,0.0001,8,2,3.5471816062927246,0.2279594987630844,-3.31922210752964,0.04127660021185875,0.3633994162082672,0.11358466296545394
12,32,0.3,0.001,8,1,1.4087828397750854,0.2323608100414276,-1.1764220297336578,0.12582436203956604,0.3633994162082672,0.3462426091720936
12,8,0.3,0.005,16,2,2.351759195327759,0.23382310569286346,-2.1179360896348953,0.03599964454770088,0.3633994162082672,0.09906357286790243
12,32,0.3,0.0005,4,1,1.5827385187149048,0.2338474690914154,-1.3488910496234894,0.09797928482294083,0.3633994162082672,0.2696187182832129
12,8,0.3,0.005,4,1,1.6073428392410278,0.23688825964927673,-1.370454579591751,0.14394615590572357,0.3633994162082672,0.3961100361901155
12,32,0.0,0.0005,4,1,1.3931795358657837,0.23853105306625366,-1.15464848279953,0.0263077262789011,0.3633994162082672,0.07239341921183474
12,8,0.4,0.0001,16,2,3.558743953704834,0.24059435725212097,-3.318149596452713,0.031104374676942825,0.3633994162082672,0.08559280309662537
12,16,0.0,0.005,8,1,0.5560510754585266,0.2408866584300995,-0.3151644170284271,0.0473921075463295,0.3633994162082672,0.13041327374936862
12,16,0.1,0.0005,8,2,3.5295538902282715,0.24274900555610657,-3.286804884672165,0.022448087111115456,0.3633994162082672,0.061772490845858355
12,16,0.3,0.0005,8,1,2.166120767593384,0.2435898333787918,-1.922530934214592,0.0465983971953392,0.3633994162082672,0.12822914709536373
12,32,0.2,0.0005,4,1,1.4725761413574219,0.24457617104053497,-1.227999970316887,0.07957442849874496,0.3633994162082672,0.21897236195101702
12,32,0.1,0.0005,4,2,3.479750394821167,0.24507391452789307,-3.234676480293274,0.02205258049070835,0.3633994162082672,0.06068413846341964
12,64,0.0,0.0005,4,1,1.039113163948059,0.24546755850315094,-0.7936456054449081,0.10834504663944244,0.3633994162082672,0.29814314995307806
12,64,0.3,0.001,4,2,2.494781970977783,0.2454851120710373,-2.249296858906746,0.016691837459802628,0.3633994162082672,0.04593248286958281
12,64,0.1,0.0005,16,1,1.5861903429031372,0.24702221155166626,-1.339168131351471,0.07938038557767868,0.3633994162082672,0.21843839598296197
12,64,0.0,0.001,16,2,1.033146858215332,0.248132586479187,-0.785014271736145,0.12209520488977432,0.3633994162082672,0.33598074032072894
12,32,0.3,0.0001,16,2,3.586353063583374,0.2503916621208191,-3.335961401462555,0.012346329167485237,0.3633994162082672,0.03397454320732715
12,32,0.4,0.0001,16,2,3.4934520721435547,0.25144320726394653,-3.242008864879608,0.032392214983701706,0.3633994162082672,0.08913667314516945
12,32,0.4,0.0001,8,2,3.4935123920440674,0.2522691786289215,-3.241243213415146,0.035359520465135574,0.3633994162082672,0.09730208384504047
12,64,0.4,0.0005,4,1,1.4269458055496216,0.2533297538757324,-1.1736160516738892,0.08105024695396423,0.3633994162082672,0.2230335089683074
12,32,0.3,0.0001,8,2,3.6154284477233887,0.25496309995651245,-3.360465347766876,0.021477023139595985,0.3633994162082672,0.059100323725581674
12,16,0.3,0.005,16,2,2.4900636672973633,0.2586227059364319,-2.2314409613609314,0.06797898560762405,0.3633994162082672,0.18706410240533997
12,64,0.3,0.001,8,2,2.766691207885742,0.26070636510849,-2.505984842777252,0.015900993719697,0.3633994162082672,0.043756244535582876
12,16,0.0,0.001,16,1,2.024756908416748,0.26319384574890137,-1.7615630626678467,0.006146022118628025,0.3633994162082672,0.016912581155897315
12,16,0.3,0.0001,4,2,3.5086493492126465,0.266642302274704,-3.2420070469379425,0.02276604250073433,0.3633994162082672,0.06264743828781201
12,8,0.0,0.001,4,1,1.4358901977539062,0.26668113470077515,-1.169209063053131,0.010911482386291027,0.3633994162082672,0.030026141759230473
12,16,0.2,0.0001,8,2,3.5897953510284424,0.2676999270915985,-3.322095423936844,0.0005357707268558443,0.3633994162082672,0.0014743301804007016
12,16,0.4,0.0001,16,2,3.5035417079925537,0.26800140738487244,-3.2355403006076813,0.041069407016038895,0.3633994162082672,0.11301451016228842
12,8,0.1,0.005,4,1,1.3235383033752441,0.269713431596756,-1.0538248717784882,0.03609287366271019,0.3633994162082672,0.09932012010174796
12,32,0.2,0.005,16,2,2.5288476943969727,0.2700604200363159,-2.2587872743606567,0.01709442399442196,0.3633994162082672,0.04704031771098114
12,64,0.4,0.0001,4,2,3.0997848510742188,0.27019572257995605,-2.8295891284942627,0.04318821430206299,0.3633994162082672,0.11884502939683168
12,16,0.3,0.0005,4,2,2.916750192642212,0.2710886299610138,-2.645661562681198,0.09886200726032257,0.3633994162082672,0.27204778778088057
12,32,0.0,0.0005,16,2,1.775441288948059,0.27527621388435364,-1.5001650750637054,0.002449406310915947,0.3633994162082672,0.0067402593445889634
12,8,0.3,0.0005,16,2,3.6372692584991455,0.2763839364051819,-3.3608853220939636,0.0025647198781371117,0.3633994162082672,0.007057578421279713
