seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio,county
6,16,0.1,0.005,6,2,2.719209144481742,2.500255942293311,-0.2189532021884308,2.791862440099463,4.662766479788639,0.5987566506281519,Kern
6,16,0.0,0.005,8,1,3.245023982112322,3.386577622500138,0.1415536403878161,3.951651894785528,4.662766479788639,0.8474908430251593,Kern
6,32,0.0,0.005,4,1,2.712042276916366,3.6392700651138297,0.9272277881974637,4.4563405777723,4.662766479788639,0.955728878357705,Kern
6,8,0.0,0.005,8,1,4.4570319087026045,3.656661192186021,-0.8003707165165834,2.449938827726488,4.662766479788639,0.5254260187264498,Kern
6,16,0.0,0.001,4,2,4.284647693030953,3.788523612200964,-0.4961240808299894,1.9065711261796252,4.662766479788639,0.4088926894460409,Kern
6,32,0.0,0.005,4,2,3.0816623287494784,3.98902693000194,0.907364601252462,2.649177481317136,4.662766479788639,0.5681557274635856,Kern
6,64,0.0,0.0005,4,2,3.98921901075619,4.427734063109908,0.4385150523537175,0.8192421104625831,4.662766479788639,0.1756987217810914,Kern
6,32,0.4,0.005,4,1,5.307934536321038,4.56894351316856,-0.7389910231524777,1.2790617355672524,4.662766479788639,0.2743139166654624,Kern
6,32,0.3,0.001,8,2,5.232670834456056,4.6601681217402575,-0.5725027127157984,4.18907781580155,4.662766479788639,0.8984103823255244,Kern
6,32,0.3,0.001,6,2,5.297673076700352,4.6764022890658605,-0.6212707876344918,4.016267043060999,4.662766479788639,0.8613485278471538,Kern
6,64,0.1,0.005,6,1,5.221456729108322,4.774284042723195,-0.4471726863851266,3.152237189764582,4.662766479788639,0.6760444048459985,Kern
6,16,0.1,0.005,6,1,4.181975751304927,4.7744018531386025,0.5924261018336754,1.4150825590040217,4.662766479788639,0.3034856163476938,Kern
6,32,0.2,0.001,4,1,4.271026339662249,4.884791038091112,0.613764698428862,1.043543248757945,4.662766479788639,0.223803455155071,Kern
6,32,0.1,0.001,4,2,4.2809638535805785,4.894293795084473,0.6133299415038946,0.6931821962713489,4.662766479788639,0.1486632880449914,Kern
6,16,0.1,0.001,8,1,5.834981231072438,4.932661576142484,-0.902319654929954,3.931935447733145,4.662766479788639,0.8432623561091093,Kern
6,8,0.1,0.005,6,1,4.234625807416243,4.988963161077274,0.7543373536610316,1.234981851067147,4.662766479788639,0.2648603262505928,Kern
6,16,0.4,0.005,4,1,5.623224864070019,4.997164320027381,-0.6260605440426374,1.2879760169718613,4.662766479788639,0.2762257176195203,Kern
6,8,0.1,0.005,8,2,4.35776691071933,5.183702813951759,0.8259359032324287,2.305182990151853,4.662766479788639,0.4943809646363303,Kern
6,16,0.3,0.001,6,1,5.856174033452044,5.316954322689488,-0.5392197107625565,5.211021464244053,4.662766479788639,1.117581480186043,Kern
6,8,0.1,0.005,4,1,4.812977571375159,5.317499655835415,0.5045220844602563,1.0897778227327797,4.662766479788639,0.2337191509496694,Kern
6,16,0.4,0.0005,4,2,6.348896693238553,5.509712415775603,-0.8391842774629499,5.775507768109123,4.662766479788639,1.2386440095475089,Kern
6,16,0.3,0.005,4,1,6.189433679231451,5.648346662373599,-0.5410870168578521,0.8089856156454497,4.662766479788639,0.1734990630888555,Kern
6,16,0.3,0.001,8,1,6.497544662207345,5.677660633192886,-0.8198840290144593,6.428106589072444,4.662766479788639,1.3786035858617194,Kern
6,32,0.2,0.001,8,1,5.242542356198538,5.699092110803428,0.4565497546048904,4.172008594206531,4.662766479788639,0.89474963249621,Kern
6,8,0.0,0.001,6,1,5.715295939767039,5.723941014688842,0.0086450749218034,1.6076626931935667,4.662766479788639,0.3447873060257655,Kern
6,8,0.2,0.005,6,2,4.9881401589550585,5.731025288465854,0.7428851295107952,3.747633917551544,4.662766479788639,0.8037361368612701,Kern
6,8,0.2,0.005,6,1,5.192959683621616,6.000761319198014,0.8078016355763973,1.6794496469671636,4.662766479788639,0.3601830917861647,Kern
6,16,0.0,0.001,6,1,5.063846918536427,6.041822995929628,0.9779760773932002,4.787477423939622,4.662766479788639,1.0267461269380656,Kern
6,16,0.1,0.005,4,2,5.199649607812623,6.062256415300191,0.8626068074875679,3.013725687361416,4.662766479788639,0.6463385418130627,Kern
6,8,0.2,0.001,4,1,6.035926576471661,6.093880448893869,0.0579538724222077,7.374893561032008,4.662766479788639,1.581656210534976,Kern
6,16,0.0,0.001,6,2,5.763665614904586,6.168726422727188,0.4050608078226014,5.258219974533151,4.662766479788639,1.1277039065382284,Kern
6,32,0.2,0.0005,6,2,6.370790139206252,6.178139301401415,-0.1926508378048375,7.843410206967274,4.662766479788639,1.682136611594328,Kern
6,8,0.4,0.001,6,2,6.737181859196257,6.189079446715809,-0.5481024124804481,3.3957639770984804,4.662766479788639,0.7282723661624181,Kern
6,8,0.3,0.001,6,1,6.556034697479544,6.297408996086321,-0.2586257013932229,2.452562086278784,4.662766479788639,0.5259886157519853,Kern
6,32,0.1,0.0005,8,1,6.534899478730379,6.339272740600888,-0.1956267381294907,5.793813369706439,4.662766479788639,1.2425699195575135,Kern
6,16,0.4,0.001,4,2,5.985650622340718,6.358784937260165,0.3731343149194464,4.980978636897835,4.662766479788639,1.0682453557321665,Kern
3,8,0.0,0.001,4,1,6.502619705848243,6.555114734981652,0.0524950291334089,3.786228625389959,4.913045119423532,0.7706480468541296,Kern
3,16,0.0,0.001,8,1,6.983795958236861,6.720650924168576,-0.2631450340682857,4.298033462638553,4.913045119423532,0.8748206780447517,Kern
6,16,0.1,0.0005,6,1,5.990821478519142,6.770020702590763,0.779199224071621,6.66383536962134,4.662766479788639,1.4291591480093613,Kern
6,16,0.3,0.001,8,2,6.232269563701205,6.787731352588417,0.5554617888872118,5.41240142013571,4.662766479788639,1.1607704232233076,Kern
3,16,0.3,0.001,4,2,7.595144018088822,6.821987750095062,-0.7731562679937607,5.108923796356492,4.913045119423532,1.0398690979161909,Kern
3,64,0.4,0.0005,8,1,7.841573957051823,6.890889071517074,-0.9506848855347494,5.103922805882931,4.913045119423532,1.0388511975403547,Kern
6,32,0.0,0.0005,8,2,6.052494722175305,6.893547374614914,0.8410526524396094,5.266196785223333,4.662766479788639,1.129414652878359,Kern
6,16,0.0,0.0005,4,1,6.38360699446842,7.002732458394115,0.6191254639256947,4.168087842414925,4.662766479788639,0.8939087686424011,Kern
3,16,0.4,0.001,4,1,6.189963049367861,7.025792532340272,0.8358294829724118,3.6723170543828254,4.913045119423532,0.7474625135976186,Kern
3,16,0.1,0.001,8,1,7.485181211960656,7.123212646221688,-0.3619685657389677,2.9658530669660275,4.913045119423532,0.603669006669742,Kern
6,32,0.3,0.0005,8,1,6.25358608272883,7.164746072559281,0.911159989830451,6.962651397030066,4.662766479788639,1.493244713671717,Kern
3,16,0.2,0.001,4,2,6.966228940751174,7.272260681461701,0.3060317407105266,5.425862845819784,4.913045119423532,1.104378794399597,Kern
3,8,0.4,0.005,8,2,6.804548831611355,7.279534637150969,0.4749858055396139,3.955286503092093,4.913045119423532,0.8050580458654903,Kern
3,32,0.2,0.0005,6,1,7.953993458180014,7.459248695769351,-0.4947447624106624,4.551991468523413,4.913045119423532,0.926511228347424,Kern
6,8,0.2,0.001,4,2,6.847480517177609,7.6968799938674195,0.8493994766898103,6.16862511409102,4.662766479788639,1.3229539031881008,Kern
3,32,0.4,0.0005,4,2,7.033867936599524,7.8331022983124114,0.7992343617128874,5.960229075936402,4.913045119423532,1.2131435659674423,Kern
3,16,0.1,0.0005,6,1,8.270753050342913,7.946091836528817,-0.3246612138140961,5.35466269031696,4.913045119423532,1.0898867321913066,Kern
3,8,0.2,0.001,8,1,8.584041467074792,7.960999698199906,-0.6230417688748862,3.825790591044788,4.913045119423532,0.7787004796515453,Kern
3,16,0.0,0.0005,4,1,7.750769186343387,7.969621778808257,0.2188525924648701,5.631769705612905,4.913045119423532,1.1462890261984209,Kern
3,32,0.2,0.0005,8,1,7.851837987425336,8.717766252539572,0.8659282651142366,4.187268908350111,4.913045119423532,0.852275687800201,Kern
3,16,0.2,0.0005,8,1,8.866822510836494,9.036516991882907,0.1696944810464149,3.5716537604369654,4.913045119423532,0.7269735314085701,Kern
