Year-Month,SARIMAX_Test_Pred,train_rmse,test_rmse
2014-11-01,6.674753564959262,5.405983353086685,4.720883051301481
2014-12-01,7.051939480980699,5.405983353086685,4.720883051301481
2015-01-01,7.566638095287046,5.405983353086685,4.720883051301481
2015-02-01,8.739847968086991,5.405983353086685,4.720883051301481
2015-03-01,13.259737403427302,5.405983353086685,4.720883051301481
2015-04-01,11.4623404735219,5.405983353086685,4.720883051301481
2015-05-01,10.059420444453949,5.405983353086685,4.720883051301481
2015-06-01,10.359310939930838,5.405983353086685,4.720883051301481
2015-07-01,9.65567843409484,5.405983353086685,4.720883051301481
2015-08-01,10.567006661557699,5.405983353086685,4.720883051301481
2015-09-01,10.882345082277201,5.405983353086685,4.720883051301481
2015-10-01,10.131146138336486,5.405983353086685,4.720883051301481
2015-11-01,8.857112982432355,5.405983353086685,4.720883051301481
2015-12-01,9.692556285903459,5.405983353086685,4.720883051301481
