Year-Month,SARIMAX_Test_Pred,train_rmse,test_rmse
2014-11-01,1.7710030443907425,1.602044237660781,1.2511747341828663
2014-12-01,1.5729483697706077,1.602044237660781,1.2511747341828663
2015-01-01,1.931626384660187,1.602044237660781,1.2511747341828663
2015-02-01,2.246664401564422,1.602044237660781,1.2511747341828663
2015-03-01,1.9833279831085346,1.602044237660781,1.2511747341828663
2015-04-01,2.088161185018283,1.602044237660781,1.2511747341828663
2015-05-01,1.699058790370351,1.602044237660781,1.2511747341828663
2015-06-01,2.024737722883187,1.602044237660781,1.2511747341828663
2015-07-01,1.7633278737845297,1.602044237660781,1.2511747341828663
2015-08-01,1.9724257089662198,1.602044237660781,1.2511747341828663
2015-09-01,1.7519608236206787,1.602044237660781,1.2511747341828663
2015-10-01,1.5732744492283803,1.602044237660781,1.2511747341828663
2015-11-01,1.4846315788039375,1.602044237660781,1.2511747341828663
2015-12-01,1.726545085217861,1.602044237660781,1.2511747341828663
