Year-Month,SARIMAX_Test_Pred,train_rmse,test_rmse
2014-11-01,7.577160298200775,13.590774208160402,6.5905413694132005
2014-12-01,6.70709386327442,13.590774208160402,6.5905413694132005
2015-01-01,8.307588352451424,13.590774208160402,6.5905413694132005
2015-02-01,7.769448416955804,13.590774208160402,6.5905413694132005
2015-03-01,11.071232773723342,13.590774208160402,6.5905413694132005
2015-04-01,8.607884877792818,13.590774208160402,6.5905413694132005
2015-05-01,7.056349630655009,13.590774208160402,6.5905413694132005
2015-06-01,9.033031862331981,13.590774208160402,6.5905413694132005
2015-07-01,8.133333998244623,13.590774208160402,6.5905413694132005
2015-08-01,8.26117919440293,13.590774208160402,6.5905413694132005
2015-09-01,10.434064271982438,13.590774208160402,6.5905413694132005
2015-10-01,9.856547413929105,13.590774208160402,6.5905413694132005
2015-11-01,8.673399317241904,13.590774208160402,6.5905413694132005
2015-12-01,7.994554402934102,13.590774208160402,6.5905413694132005
