Year-Month,query_term,title_clean,source,real_url,article_text_clean,cv_mention_count,risk_mentions
2012-11,"""valley fever""",discovery advances fight against phleboviruses,Medical Xpress,https://medicalxpress.com/news/2012-11-discovery-advances-phleboviruses.html,medical xpress researchers in the life sciences institute at the university of michigan have discovered how a particular type of virus hides and protects its genetic information from the immune system a design that allows it to replicate inside cells of an infected person or animal the discovery detailed nov in the proceedings of the national academy of sciences offers the first picture of a potential drug target for phleboviruses a family of viruses that attacks humans and animals via insect bites an increasing number of human cases of different types of phleboviruses have been diagnosed in the last five years and some have been fatal there are currently no antiviral medications or immunizations for phleboviruses the phleboviruses are part of the bunyavirus family negative sense rna viruses that include about types negative sense viruses have a single strand of rna which they must replicate upon entering the cell other negative sense rna viruses include those that cause flu rabies and measles researchers in the lab of janet smith a faculty member at the life sciences institute professor of biological chemistry and the director of the center for structural biology isolated a protein from the rift valley fever virus a phlebovirus that typically infects cattle but has also caused fatal outbreaks among human populations in egypt kenya saudi arabia and yemen they found that the rift valley fever virus hides its genome within a protein structure that is very weird smith says they used x ray crystallography to diagram the structure of the viral protein and found that it tucks the rna genome in a narrow groove in the protein concealing the rna inside unlike other viruses like flu or measles that package their rna genomes in regular symmetrical protein shapes the rift valley fever virus threads its rna into a seemingly random string of proteins working with georgios skiniotis a faculty member at the life sciences institute and assistant professor of biological chemistry the researchers used electron microscopy to show that the entire virus uses the same rna hiding scheme as the isolated protein we describe it as nature s most primitive packaging scheme smith said the body s immune system is always on the lookout for odd rna strands smith says and by keeping its rna packed into this little slot in the protein the virus can escape detection aiming a drug molecule at that slot might interrupt the virus s replication mechanism and stop its spread it s our first picture of a phlebovirus protein in action the first step in finding a druggable target smith said x ray crystallography and electron microscopy techniques capture pictures of the viral proteins in action pictures that are essential for developing antiviral drugs and vaccines veterinarians first reported rift valley fever virus in cattle in kenya in the early s more recently however other phleboviruses have been discovered in two missouri farmers became ill with undiagnosed flu like symptoms of fever gastrointestinal distress and low platelet count after being bitten by ticks scientists determined that they had been infected with a previously unknown phlebovirus that they dubbed the heartland virus in a paper published in the new england journal of medicine in august in farmers in china began to contract an illness with very similar symptoms in researchers pinpointed a new phlebovirus called sfts virus for severe fever with thrombocytopenia syndrome and began tracking patients since then about cases have been diagnosed with a fatality rate of percent this is a little known part of virology smith said we really don t know many molecular details about the phleboviruses scientists currently assume that the structure of the rift valley fever virus is very similar to other phleboviruses smith says the understanding of how this particular phlebovirus hides its rna also applies to other viruses in the family while the number of reported cases of phleboviruses is rising smith says the number is probably rising because scientists are able to isolate and observe viruses and to sequence their genomes,0,1
2012-11,"""valley fever""",unhcr helps mediate south sudan cattle grazing dispute - unhcr,UNHCR - The UN Refugee Agency,https://www.unhcr.org/news/stories/unhcr-helps-mediate-south-sudan-cattle-grazing-dispute,,0,0
2012-11,"""valley fever""",massive deforestation risks turning somalia into desert,Al Arabiya English,https://english.alarabiya.net/articles/2012%2F11%2F19%2F250473,,0,0
2012-12,"""valley fever""",valley fever treatments can do harm as they heal,KVPR,https://www.kvpr.org/health/2012-12-08/valley-fever-treatments-can-do-harm-as-they-heal,thousands of california and arizona adults and children annually contract valley fever and find themselves battling the disease for months or years missing work and school spending weeks in the hospital with frequent recurrences if they had a bacterial infection food poisoning strep throat or a boil on the skin their doctor could reach for multiple cost effective antibiotics that usually are able to kill the bacteria even though resistance to antibiotics is on the rise if those same patients acquire an internal fungal infection though their doctors have far fewer options current treatments can take so long to work that they allow the disease to spread becoming more damaging and more deadly many of the treatments are extremely expensive costing thousands of dollars a month while scientists are working to perfect new treatments valley fever and other fungal infections have been so low on the national priority list that treatment research doesn t receive much funding it s a clear unmet clinical need said dr joseph heitman chairman of duke university s department of molecular genetics and microbiology even when treatments do fight off valley fever they can cause significant side effects pregnant women can t take the most common and least expensive treatment the antifungal pill fluconazole because of extreme fetal side effects other treatments can cause fatal heart or kidney damage in some patients the treatment is as harsh as the disease itself said dr arash heidari an assistant clinical professor at ucla and an infectious disease specialist for kern county and kern medical center hundreds of people throughout the united states in recent weeks discovered the difficulty of treating fungal infections during the outbreak of fungal meningitis caused by tainted steroidal drugs the u s centers for disease control reported as of dec that people died and a total of people in states were infected with fungal meningitis linked to tainted medication manufactured by the new england compounding center in massachusetts although the fungus that causes that disease is different from the one that causes valley fever many of the drugs used to treat it are the same treatments fall short valley fever is caused by a fungus that grows naturally in the dry warm dirt of the u s southwest when the wind kicks up everyone can inhale the spores most people don t get sick but in some especially those with compromised immune systems the spores begin a potentially deadly voyage it can go anywhere in the body said dr steven larson a riverside infectious disease specialist and member of the california medical association s executive committee traveling through the bloodstream the fungus can attack everything from lungs to the brain it can destroy joints causing people to lose strength and mobility and it can rupture onto the skin causing painful and unsightly abscesses research shows that immunization against the disease could work in theory but funding for vaccine research has been scarce unfortunately there s not much the public can do to prevent this he said it s so ubiquitous there s no way to eradicate it in nature that s why doctors have to rely on antifungal treatments most often doctors turn to a class of drugs called azoles that can be taken as pills developed out of research from england in the s azoles were designed to fight but generally not kill a range of fungal infections almost all of the drugs including the most popular one fluconazole are available as generic prescriptions which helps reduce their cost fluconazole for example costs about a month and for many patients is a lifesaving medication said larson but it can take several weeks or months for the medication to alter the course of the disease this gives the fungus more time to spread from the lungs and harm other parts of the body it also means patients can be forced to stay home from work or to endure long hospital stays for the most severely ill doctors use intravenous drugs called amphotericins they generally work more quickly than the azoles and can kill valley fever but they don t work for everyone especially in cases where the fungus has spread to the brain and caused meningitis and relapses are common amphotericin b the most commonly used intravenous drug for valley fever is very expensive costing at least a month because patients can be required to have infusions of the drug for more than a year the costs can mount and because the drugs aren t proven to be effective in all patients insurance companies may not cover the costs patients in tennessee who were diagnosed with fungal meningitis recently sued their insurance company for failure to pay for treatments heidari of kern medical center runs one of the nation s few valley fever clinics and says he has one hand tied behind his back in the fight against the disease we don t have a good effective medication available for valley fever he said the ideal treatment would be a medication that can be taken by mouth and kill the fungus and it s cheap and approved by most of the insurance companies side effects can be devastating doctors also have to worry about the damage that today s treatments might do to patients azoles can t be taken by pregnant women or women who are considering having a child because they cause severe deformities in unborn children they can cause nausea diarrhea and other side effects if doctors have to put a patient on amphotericin b the side effects can be even worse they can damage the kidneys cause severe anemia and lead to fatal illnesses a study in a journal of antimicrobial chemotherapy said that up to percent of patients treated with amphotericin b develop some degree of kidney impairment and can end up needing dialysis in spite of its proven track record in halting the fungus spread amphotericin b s well known side effects and toxicity will sometimes prompt doctors to halt therapy even when a patient has a life threatening fungal infection a research article found that s why amphotericin b is considered a drug of last resort said dr paul goebel chief of medical services at the veterans affairs central california health care system in fresno anna magana who lives in wasco was treated with amphotericin b in she was years old and four months pregnant immediately she felt the side effects of the drug that treatment led to convulsion like seizures and i had to take the demerol to calm them down magana wrote in an email to the reporting on health collaborative being so young i don t think i realized the gravity of my condition all i knew was that i was very sick her daughter brianna was born three weeks early they were both kept in the hospital to make sure magana s valley fever treatment hadn t affected her infant brianna didn t experience any side effects lack of research for fungal treatments the limitations of valley fever treatments reflect the state of the science around fungal infections said michael kurilla director of the office of biodefense research affairs within the national institutes of health we still have a long ways to go to know how to use the immune system to effectively attack the fungal infections in general kurilla said the basic issue that has confounded researchers for decades is the core structure of a fungus unlike bacteria fungi and our own cells share a lot of common features said heitman the expert at duke university as weird as it sounds fungi and humans are sort of kissing cousins that means treatments that damage or destroy fungus infections can have serious side effects potentially harming human kidneys or other organs the trick is to administer enough of a drug to control a fungus infection like valley fever but not harm the patient dr william schaffner infectious disease specialist at the vanderbilt university medical center in nashville tenn said fungal infections are much harder to treat because they have a more complicated metabolism a clinical breakthrough would require financial support from the government and commercial interest by pharmaceutical companies he said but pharmaceutical companies interest in developing new drugs to treat infections of any kind has waned over the past decade he said there s very little antibiotic research going on overall said schaffner and the research funding that exists tends to focus on treatments for far more common bacterial and viral infections the infectious disease society of america has lobbied congress to create financial incentives for pharmaceutical companies to develop new antibiotics including new antifungal drugs in the meantime researchers like dr joshua fierer at the university of california san diego continue to scramble to bring in nih research grants for valley fever studies they have to establish priorities and unfortunately we are a long ways from washington he said i think it s regrettable heidari said hopefully the recent fungal meningitis outbreak was a wake up call for those who make research funding possible to further develop treatments for fungal infections this devastation itself might open the door for any other fungal infections including valley fever he said kellie schmitt contributed to this report,4,9
2012-12,"""valley fever""",outbreaks lead calif. to move inmates,Good Morning America,https://www.goodmorningamerica.com/amp/news/story/california-corrections-department-move-inmates-risk-valley-fever-19579850,,0,0
2012-12,"""valley fever""","suffering, misdiagnosis and pain: community members share their valley fever stories",KVPR,https://www.kvpr.org/health/2012-12-22/suffering-misdiagnosis-and-pain-community-members-share-their-valley-fever-stories,the reporting on health collaborative asked readers to share their experiences with valley fever here are their stories in their own words as told to the collaborative s community engagement editor kellie schmitt their accounts capture the pain and anguish suffered by local families as doctors struggled to find the right treatment and jobs and lives were lost to the disease misdiagnosis was a frequent problem allowing time for the disease to tunnel its way into lungs and other organs as one survivor put it and even when the correct treatment was administered patients often suffered terrible side effects these first person stories are a poignant reminder of the need for better treatment protocols and improved diagnosis they also highlight the costs to families employers and the government of underinvestment in research to develop a vaccine young and pregnant anna maga a wasco i was years old and four months pregnant when i contracted valley fever it was i woke up with red welts on my legs and my heels felt like they were on fire i thought something had bit me i also had headaches doctors initially thought i had meningitis once i was diagnosed with valley fever i had to receive amphotericin b three to four times a week that treatment led to convulsion like seizures and i had to take demorol to calm them down i went through all this while being young and pregnant i was told that the only other case of a pregnant woman who had valley fever was in arizona and that the mother died after giving birth i started freaking out my daughter brianna was born june three weeks early they kept us both in the hospital to make sure my treatments hadn t affected her but luckily she had no effects from all the medication i was on being so young i don t think i realized the gravity of my condition all i knew was that i was very sick it was a very scary time for me and my family reading those stories of other valley fever cases really touched me and brought back memories i lived it and i know what most of them experienced hopefully one day we can find a vaccine to prevent it never thought i would catch the fever andrea rivera delano i ve lived in the valley my whole life and until i never thought that i would catch the fever i had just had my second child who was five weeks old i started to develop welts on my legs my feet were swollen and i could not bend my right leg below the knee i also had a low grade fever i went to urgent care where they gave me a shot of an antibiotic and prescribed me a very strong form of another antibiotic two days after my urgent care visit my feet became so swollen that i could barely walk plus i developed a temperature my mom convinced me to see her primary care physician in delano the moment he walked into my room and looked at my legs he said i had valley fever i could not believe it i thought valley fever consisted of fatigue shortness of breath pneumonia coughing and fever now i know those welts were also an indication he put me on the anti fungal diflucan and said i was very lucky it was caught before it developed into something more serious i was on diflucan for six months now three years later i m symptom free but i understand i will always have the disease in my body i pray my immune system is never compromised it breaks my heart to hear of those who did not survive the fever or of those who have had lasting effects because of it i think physicians need to know all symptoms and side effects of this disease and need to test for this disease immediately given antibiotics first sheila lake bakersfield i had valley fever in and my husband had it when he was in high school in when i had it it was awful it started when i bent over to pick up my purse at a restaurant something caught in my rib cage i had to put my head between my lap since i couldn t catch my breath several days later i couldn t breathe again and i had back pain i went to my regular doctor in bakersfield who suspected pneumonia and put me on antibiotics the cough kept developing though and fatigue kept me from going anywhere i had a rash over my upper body i went to the coast for the weekend and had a degree fever on the drive home that monday i could barely move i coughed all night long i went to the doctor who admitted me to the hospital where i tested positive for valley fever i was on anti fungals for three months when my husband had it at age he also had extreme fatigue he couldn t do anything and missed three months of school valley fever is just awful misdiagnosed like many sufferers kathleen w zuckerman bakersfield my valley fever story started with a constant cough that i assumed was related to my asthma but on june i woke up around a m in extreme pain i had coughed so hard that i bruised several ribs and was having trouble breathing my husband took me to the emergency room they diagnosed me with pneumonia and sent me home i kept getting worse by the time i finished my antibiotics i was so sick that i could hardly get out of bed to go to the bathroom my husband was at work so i called an ambulance and went back to the hospital i was admitted around june with pneumonia when i was admitted i asked the nurse if i could be tested for valley fever something my husband had been researching after two days of not getting better they called in a specialist who quickly diagnosed me with valley fever the next eight weeks were spent mostly in bed my recovery has been extremely slow i still have a chronic cough and i am a bit short of breath i tire easily i ve lost pounds and i have dark circles under my eyes the valley fever seems to have settled in my muscles so i am in a lot of pain so far this is my story i hope to feel better soon i went to the town hall meeting on valley fever and it confirmed my concern people that got really sick were often misdiagnosed it all comes down to a lack of knowledge and proper training to me that is really scary quick testing is key brian renninger bakersfield i am a recent valley fever survivor i like to think i know exactly how i got it it was the summer of when windstorms were kicking up cloud of dusts at the time of my diagnosis i smoked i thought i was just having reoccurring bronchitis that smokers get but this time i coughed so hard i vomited at that point i thought something is definitely wrong my doctor ordered me a cocci test and the chest x ray showed valley fever induced pneumonia they put me on anti fungals but it didn t seem to help a nurse told me my medical team had debated putting me in a medically induced coma they ended up increasing the amount of anti fungal medications i had to miss three months of work more than a year later i felt better physically but my insides weren t getting any better the fungus was tunneling into my lungs like a gopher it was a year battle my doctor suspected i had valley fever right off the bat i was tested and i got seen by a specialist quickly in this valley in this area if someone is still sick with flu like symptoms after a week they should be tested for valley fever it s so prevalent here in kern county it should be one of those things that s a no brainer just test them as a survivor my suggestion to everyone in kern is if you get flu like symptoms at any time and they don t go away within to days force your doctor to give you a cocci test told she had scarlet fever edna wayne bakersfield i was about eight years old and it was the first day of school the nurse inspected us and decided i had scarlet fever they took me to kern general hospital and put me in isolation on the fifth floor i spent three months in isolation my mother didn t even get to see me she thought the doctors knew what they were doing i was weak but i wasn t that sick i got to come home for thanksgiving most people never heard of valley fever in those days people didn t understand the reason i found out that s what i had was in sacramento years later i went to a clinic there for what turned out to be a valley fever flare up my whole body ached they asked me when did you have valley fever i told them that i ve never had it they said yes you have they just misdiagnosed you then i explained how i was hospitalized as a child they said yes that was probably valley fever doctors refused to test for valley fever colette kitlas davis i got valley fever in davis calif in october at that time many doctors in the area didn t seem to know about it at all they just thought it was something down in arizona that didn t exist here but i didn t travel to any other parts of the valley i contracted the illness right here in davis i m not sure how i got it but i live behind a dirt track i work in the garden and there s a lot of agriculture the disease hit me first with respiratory symptoms the glands in my neck swelled so large it was like i no longer had a neck that put pressure on the inner ear so i experienced severe vertigo i went to the emergency room and they said i had an inner ear virus i was so weak that i could barely get out of bed to the bathroom i was in and out of doctors offices i was diagnosed as having asthma influenza a viral infection i never had a fever though i was pretty much bed ridden for four months i experienced dizziness and extreme fatigue i felt as if i was having an asthma attack yet i could still breathe it impacted my family too i could not get involved with my teenage son i couldn t even cook meals i was too weak after about a year a friend of my husband s said his wife who lived in sacramento had something called valley fever i did all kinds of reading and research i called the center for valley fever in arizona a doctor got on the phone with me and talked to me for an hour and a half asking me all kinds of questions over the phone he said you sound like you definitely have valley fever he gave me information on valley fever testing but my doctor said it was ridiculous so i got ignored eventually though i got tested and diagnosed and i did have valley fever it took me years to completely recover from all that it was scary i thought i was going crazy doctors thought i was exaggerating my symptoms after i finally recovered i kept telling people i hope you never get this i would never wish this for anyone hopefully some day many more doctors will be informed of valley fever and its seriousness in this way maybe others will not have to suffer needlessly an infant suffers and survives tyler thomas as told by his mother sonya hodge bakersfield just months after my son tyler thomas was born we noticed a knot on the right side of his head that felt like hard bone the doctor kept saying it was a calcium deposit but when he started having night sweats and had frequent colds we had a feeling something more was wrong he also developed what looked like boils on his pelvic area and leg i took him to a different doctor when he was about a year old his eye swelled up as if someone had hit him or he had fallen the doctors sent us to ucla where they did a biopsy they realized he had disseminated valley fever the valley fever had spread to his skull and he had what s called cranial osteomyelitis from that point on we never even spent a full month at home tyler received the anti fungal medication amphotericin b it was so harsh when they first gave it to him that he had a seizure and a fever it was terrifying i didn t know what was going on with my son back at home i had to administer iv medications without nursing skills once when i was administering the medication the amphotericin was too strong and it looked like he was paralyzed from the neck down he kept crying i rushed him to a local hospital where i was told he had to be immediately transferred to ucla there they realized the amphotericin had stripped him of his body s nutrients amphotericin also blows patients veins with so many different ivs his little hands and legs were all swollen it came to the point where i picked up my son and looked at him he was so swollen and torn up i thought they don t have a cure was it worth him going through the pain and misery you could see it in his eyes i was so upset once that the nurses hid him from me when they had to put in another iv i didn t want them to poke him anymore but every day counts they can t give you a break tyler went through this for a year and a half they finally got the valley fever to a level where it could be suppressed but it never goes away when tyler was young he never spoke even when he was or years old finally when he did speak we couldn t understand a word he said some of the doctors believe that when the valley fever went into his head it could have damaged the speech part but we don t know i had to take it upon myself to buy a sign language dictionary and teach him the words for water hungry etc now at his speech is still impaired he doesn t have any friends at school he d rather stay home there needs to be more resources and awareness of resources the schools need to be more aware they don t understand valley fever affects your entire family when a parent has to be outside at the hospital who is going to take care of the other children truancy became a problem with my daughter we were gone for the holidays christmas at the hospitals i had to call friends to take my other kids presents the biggest problem was the lack of awareness about valley fever there wasn t any support that i knew of as far as resources transportation or meals people think of this as an adult disease or even a child disease but no one thinks of the babies you think it couldn t happen to you but if you have family members bearing children they re all at risk we need a vaccine a husband s untimely death and a wife s plea for a vaccine cheryl youngblood bakersfield my husband michael youngblood was diagnosed with valley fever in he was off work for several months taking both the maximum dosage of diflucan as well as amphotericin b through ivs three times a week he got better and was able to return to work but in february of he woke up vomiting and with a severe headache he was diagnosed with cocci meningitis which meant the valley fever had disseminated into his brain they had to inject the anti fungal medications directly into the back of his neck at first once a month then once a week he had more small strokes and other physical and mental issues on january my big strong healthy husband of years died at age a pound shell of his former self he left behind four children and two grandchildren it was just three months shy of our th wedding anniversary he was able to walk our first daughter jennifer down the aisle as a healthy dad he walked our second daughter amy down the aisle as a sick dad but he was not around to walk his baby girl stacie down the aisle that was his biggest regret while we were dancing together at amy s wedding his eyes filled with tears as he told me he knew he wouldn t be there for stacie s wedding what makes his story especially poignant is that he was a volunteer for the valley fever vaccine trials of the early s he actually received the vaccine they were testing at that time had it been effective he would be with us still today enjoying our expanded family of eight grandchildren he would have been here for stacie s and our son steven s wedding for the college graduations and all the holidays when his presence is missed this is why the vaccine trials need to continue so that no more families have to suffer losses like ours and so many others do you have a valley fever story to share write to valleyfever or call to leave us a voice message in this season of sharing here is some information on non profit organizations working to shed light on this overlooked disease,3,9
2012-12,"""valley fever""","regional office for west and central africa bulletin - central emergency response fund, january - december 2012 [en/fr]",OCHA,https://www.unocha.org/publications/report/niger/regional-office-west-and-central-africa-bulletin-central-emergency-response-fund,,0,0
2013-01,"""valley fever""",crystal structure of glycoprotein c from rift valley fever virus,PNAS,https://www.pnas.org/doi/10.1073/pnas.1217780110,,0,0
2013-01,"""valley fever""",lessons from the northridge quake of 1994,MySafe:LA,https://mysafela.org/2013/01/17/lessons-from-the-northridge-quake-of-1994/,imagine this several million people shaken out of bed at am by a rolling jolting killer earthquake people died billion dollars to repair the damage and we re told that as angelenos we were lucky our children s safety ambassador pau gasol has a message for everyone in la the northridge earthquake of registered on the magnitude scale that s actually considered to be a modest to elevated level of earthquake yet due to the unusual pulsing nature of the quake it creates a significant amount of damage collapsed bridges buildings fires water and gas line breaks not to mention the aftereffects of the quake often not reported suicides increased fivefold a significant outbreak of valley fever occurred a respiratory infection contracted by inhaling fungal spores from dust clouds that followed the quake for weeks los angeles rolled in the aftermath including hundreds of aftershocks with two in the range on the same day so what did we learn most importantly buildings retrofitted or built to the new earthquake codes established after the san fernando earthquake survived northridge intact we learned that within approximately hours the city had been completely inspected and injuries deaths and missing were accounted for the next big one is long overdue the southern end of the san andreas fault has historically ripped every years during the past two centuries however it s last big event was in that s more than years ago so doing even simple math leads us to believe it s long overdue for a significant event as angelenos we have a responsibility to prepare ourselves and our families most of the mysafe la audience wasn t born in so what do we do make a plan build a kit or buy one practice and understand the simple steps of drop cover and hold on we do this to ensure that our safety is the key metric for survival by dropping in place covering our heads and holding on to the furniture we increase our chances of avoiding injury or worse significantly mysafe la supports earthquake readiness via our quakesmart la initiative check out our great shakeout drill at an la elementary school if you re interested in having mysafe la deliver a quakesmart la presentation to your school or homeowner s association please contact us we encourage every person in l a to check their personal and home safety this week so the memories of northridge are not repeated additional resources earthquake country usgs earthquake programs southern california earthquake center dare to prepare earthquake program the great california shakeout,0,2
2013-01,"""valley fever""","regional office for west and central africa bulletin - central emergency response fund, january - december 2012 [en/fr]",ReliefWeb,https://reliefweb.int/report/niger/regional-office-west-and-central-africa-bulletin-central-emergency-response-fund,,0,0
2013-01,"""valley fever""",tensions grow between refugees and host community,The New Humanitarian,https://www.thenewhumanitarian.org/news/2013/01/02/tensions-grow-between-refugees-and-host-community,,0,0
2013-01,"""valley fever""",gun research: more known about u.s. car deaths than gun deaths,Boulder Daily Camera,https://www.dailycamera.com/ci_22399415/gun-research-more-known-about-u-s-car/,milwaukee nearly as many americans die from guns as from car crashes each year we know plenty about the second problem and far less about the first a scarcity of research on how to prevent gun violence has left policymakers shooting in the dark as they craft gun control measures without much evidence of what works that could change with president barack obama s order wednesday to ease research restrictions pushed through long ago by the gun lobby the white house declared that a law banning use of money to advocate or promote gun control should not keep the centers for disease control and prevention and other federal agencies from doing any work on the topic obama can only do so much though several experts say congress will have to be on board before anything much changes especially when it comes to spending money how severely have the restrictions affected the cdc its website s a to z list of health topics which includes such obscure ones as rift valley fever does not include guns or firearms searching the site for guns brings up dozens of reports on nail gun and bb gun injuries the restrictions have done damage without a doubt and the cdc has been overly cautious about interpreting them said daniel webster director of the center for gun policy and research at the johns hopkins bloomberg school of public health the law is so vague it puts a virtual freeze on gun violence research said a statement from michael halpern of the union of concerned scientists it s like censorship when people don t know what s prohibited they assume everything is prohibited many have called for a public health approach to gun violence like the highway safety measures product changes and driving laws that slashed deaths from car crashes decades ago even as the number of vehicles on the road rose the answer wasn t taking away cars said dr georges benjamin executive director of the american public health association however while much is known about vehicles and victims in crashes similar details are lacking about gun violence some unknowns,0,0
2013-02,"""valley fever""","ike davis opens up about his valley fever, or whatever it was, last year",NBC Sports,https://www.nbcsports.com/mlb/news/ike-davis-opens-up-about-his-valley-fever-or-whatever-it-was-last-year,last year ike davis was reported to have valley fever a fungal infection which sapped his strength and led to him having a horrific start to the season of course he downplayed it all his quote from last march flash forward to today and he s telling a different story from adam rubin who davis now tells he was exhausted all the time last spring guess that teaches us not to take players claims about their health at face value,0,0
2013-02,"""valley fever""",what does senator michael rubio's resignation mean for the valley?,KVPR,https://www.kvpr.org/government-politics/2013-02-22/what-does-senator-michael-rubios-resignation-mean-for-the-valley,state senator michael rubio stunned political observers with his surprise resignation on friday morning a moderate democrat rubio was leading efforts to change the state s landmark environmental law the california environmental quality act his decision to leave office in order to spend more time with his family and to take a job as a lobbyist for chevron has sent potential candidates scrambling for a rare open state senate seat on friday afternoon we talked to fresno state political science professor thomas holyoke about what rubio s departure means for the current legislative session and for local voters transcript q the news today caught a lot of people by surprise including veteran political observers and raised a lot of eyebrows as well with the new city take a job with chevron especially considering even earlier this week the senator was talking about his plans for ceqa reform how does this look from the outside looking in a well this is opportunism apparently this job came along and who knows when chevron started talking to senator rubio about this but the rest of us are certainly caught by surprise and he s basically out the door and i m sure his constituents and everyone else their heads are spinning trying to figure out what s going on here this is what we loosely call the revolving door where you move from government into basically doing government affairs work for a company or an interest group and he ll abruptly be in the position where he will now be lobbying his former colleagues q what do you feel rubio s resignation means for efforts to reform the california environmental quality act rubio was planning on introducing legislation this week on that very issue this is a big blow to ceqa reform because he was taking the lead on that and as a democrat and a member of the majority party and head of the committee that would look over ceqa anyway he had a lot of cache on this i just cannot help but imagine that his departure is a big blow to ceqa reform q is the climate for the reform of ceqa still there is there the political will in sacramento to take on this issue at this point a that s a very good question a lot of the state s environmental groups and frankly many of the state s labor unions have been organizing against ceqa reform which means if it was something we were really going to do the democrats would have to push back against some of their natural constituencies which presumably means that a lot of democrats would not have gone along passing ceqa reform would mean probably getting a minority of democrats on board with probably all of the republicans it would be actually kind of a strange thing for sacramento to do this i imagine that s how it would have had to have happened a minority of the majority party plus all of the minority party to do it and rubio i feel is somebody who could have persuaded other dems at least some other democrats to have gotten on board as more of centrist legislator he has not only does he have ties to the democrats he also has ties to the republican party somewhat at least certainly more so than most democrats up in sacramento he was in a good position to have brokered some kind of a deal on ceqa now with him gone i have to imagine that the chances of anything happening with ceqa are just diminished significantly q with rubio s resignation and existing vacancies in other senate seats the two thirds majority that democrats have enjoyed in sacramento in the senate is now at least temporarily gone what does that mean in real terms for sacramento politics a it all of a sudden means that at least for the time being republicans are again a little more powerful in sacramento because until special elections fill these seats and assuming those those seats at least on democrat gets in nothing tax wise can be passed in sacramento without republican support q of course a newly open senate seat means a special election is coming and all sorts of political jockeying that always follows that sort of announcement we re already starting to see people talk about names of potential candidates for this open seat here in fresno county which portions of which are in rubio s district henry perea sr put a facebook message out saying that he thinks his son assemblymember henry t perea might be a good candidate for this office how do you see the politics of this surprise announcement playing out and who do you think are some of the names we might see on the election ballot in a few months a this is a big and very unexpected opportunity i mean anybody in the valley with political ambitions is all of a sudden running around trying to figure out what support they ve got are they an eligible candidate can they raise money and special elections often benefit people who have some name recognition who already have an organization because there s not a lot of time to build that stuff and that s why someone like you know fran florez nicole parra who ve already been in elected office and of course henry t perea who already have name recognition who already have organizations and in henry t perea s case is already a sitting legislator they would have an advantage in a special election like this whereas somebody new to politics just does not have the time to put an organization together and get the name recognition,2,0
2013-02,"""valley fever""",ex-osu football player seeks to open athletics to everyone,The Columbus Dispatch,https://www.dispatch.com/story/news/politics/2013/02/28/ex-osu-football-player-seeks/23331511007/,the new man in charge of reynoldsburg s fun is a hulking fellow a foot figure with hands so big that the mayor s wife felt her own disappear when she shook his a guy his size must have a story and joe brown certainly does hints appear in the parks and recreation director s office in the soldier photos on his laptop in the ohio state football helmet on a table in the framed no jersey on the wall brown has built a career and a life really out of shaping unlikely athletes he s hoping to do the same in reynoldsburg joe has an interesting background said mayor brad mccloud everybody wants to talk about it joey brown grew up throwing a ball against a wall in tucson ariz in third grade he told his teacher he was going to be a major league baseball player and an army ranger in high school his protective dad an ohioan and a big buckeyes fan loaded him up with padding and let him loose on the football field i wasn t instantly a star brown confided he became one in he moved to columbus where he played defensive tackle for the buckeyes he joined the seattle seahawks after he graduated in and was on and off the practice squad for two years but brown felt unsettled the united states was at war in iraq and afghanistan and he was playing a game he thought of his grandfather who d died as a pow in the korean war and so when he got sick valley fever a flulike fungal infection that attacked his lungs and made him drop a quick pounds he took it as a sign with his wife s blessing he joined the army he figured he d deploy fight and then return to the nfl the war had other ideas his face smashed into the ground first which proved to be a good thing he was in southeastern baghdad in during his second deployment to iraq while calling in an airstrike he d fallen feet through a stairway shaft tearing open his calf and striking his head his night vision goggles gouged a circle into his face his football career was over he woke up in germany unable to walk or talk i remember thinking i was in the fight and now i m in a hospital bed he said doctors said he was lucky he hadn t hit the back of his head they shipped him back to the united states where he was told his rehabilitation at brooke army medical center in san antonio texas would take two years brown finally regaining his voice said he didn t want to wait that long he was out in six months brown and his family which now included two children moved to arkansas his brain still healing he got a master s degree and coached football at arkansas state university that led to a job in harker heights texas as the city s recreation superintendent life had left him with a circular scar near his left eye a calf that looks like it s stuffed with cauliflower and chronic debilitating headaches but it also had led him to a calling in texas brown made his name building an adaptive sports program that allowed disabled veterans at nearby fort hood to play basketball and practice archery he found ways for children and civilians with disabilities to bowl and rock climb and ride bikes when the former reynoldsburg parks and rec director left brown sent in his resume hoping to get back to ohio reynoldsburg officials were impressed and hired him away from texas in december he s already at work to start an adaptive sports program in reynoldsburg like he did in texas parents of children with special needs in reynoldsburg say their kids want to play too and brown s refrain remains the same the thing he thought even when he was a boy trying to get somewhere on the football field everybody should be able to participate in sports lkurtzman,0,1
