Year-Month,Num_Articles,cv_mentions_rate,risk_mentions_rate
2008-10,0,0.0,0.0
2008-11,2,0.0,0.0
2008-12,0,0.0,0.0
2009-01,0,0.0,0.0
2009-02,1,12.0,12.0
2009-03,0,0.0,0.0
2009-04,2,4.0,0.0
2009-05,0,0.0,0.0
2009-06,1,0.0,0.0
2009-07,0,0.0,0.0
2009-08,1,0.0,0.0
2009-09,3,0.6666666666666666,5.666666666666667
2009-10,2,0.6666666666666666,1.0
2009-11,3,0.0,0.0
2009-12,0,0.0,0.0
2010-01,1,0.0,0.0
2010-02,0,0.0,0.0
2010-03,1,0.0,1.0
2010-04,2,0.0,0.0
2010-05,2,0.0,0.0
2010-06,1,0.0,0.0
2010-07,4,0.0,0.75
2010-08,0,0.0,0.0
2010-09,2,0.0,0.0
2010-10,0,0.0,0.0
2010-11,0,0.0,0.0
2010-12,3,0.0,0.0
2011-01,1,0.0,0.0
2011-02,3,0.0,0.0
2011-03,1,0.0,0.0
2011-04,1,0.0,1.0
2011-05,3,0.25,0.5
2011-06,0,0.0,0.0
2011-07,4,0.0,0.0
2011-08,4,0.0,0.6666666666666666
2011-09,2,0.0,0.6666666666666666
2011-10,2,1.0,3.0
2011-11,2,0.0,0.5
2011-12,3,0.0,1.0
2012-01,3,0.6666666666666666,2.333333333333333
2012-02,0,0.0,0.0
2012-03,6,0.0,0.6
2012-04,3,0.4,0.4
2012-05,6,0.0,0.6666666666666666
2012-06,5,0.0,2.0
2012-07,8,0.0,3.6
2012-08,6,1.2,1.0
2012-09,7,2.333333333333333,3.888888888888889
2012-10,6,0.1666666666666666,2.1666666666666665
2012-11,7,3.333333333333333,2.5
2012-12,3,1.75,4.5
2013-01,6,0.0,0.4
2013-02,7,0.5714285714285714,0.1428571428571428
2013-03,7,0.0,0.4
2013-04,3,1.5,1.0
2013-05,11,3.555555555555556,3.4444444444444446
2013-06,8,1.2222222222222223,3.333333333333333
2013-07,9,0.8,1.2
2013-08,9,2.111111111111111,2.333333333333333
2013-09,8,1.0,0.7142857142857143
2013-10,8,0.1428571428571428,1.2857142857142858
2013-11,5,8.25,0.25
2013-12,3,0.0,0.0
2014-01,4,4.0,5.5
2014-02,6,0.5714285714285714,0.1428571428571428
2014-03,12,0.6666666666666666,1.6666666666666667
2014-04,6,0.5,1.875
2014-05,6,0.0,0.5
2014-06,5,1.2,0.4
2014-07,12,1.0,1.1
2014-08,11,2.2222222222222223,1.3333333333333333
2014-09,8,1.25,3.0
2014-10,7,0.5714285714285714,0.5714285714285714
2014-11,4,0.0,5.0
2014-12,7,0.0,1.6666666666666667
2015-01,8,0.0,3.0
2015-02,7,2.4285714285714284,12.285714285714286
2015-03,6,2.75,2.625
2015-04,5,0.2222222222222222,1.8888888888888888
2015-05,13,0.0,1.4545454545454546
2015-06,9,1.4,1.8
2015-07,7,1.0,0.75
2015-08,11,0.2,1.9
2015-09,10,0.0,1.5
2015-10,12,0.1666666666666666,1.0
2015-11,11,0.0,1.2
2015-12,7,0.0909090909090909,1.3636363636363635
