Year-Month,cv_mentions_rate,cv_mentions_rate_lag3,cv_mentions_rate_lag6,risk_mentions_rate,risk_mentions_rate_lag3,risk_mentions_rate_lag6
2014-12,0.0,1.25,1.2,1.6666666666666667,3.0,0.4
2015-01,0.0,0.5714285714285714,1.0,3.0,0.5714285714285714,1.1
2015-02,2.4285714285714284,0.0,2.2222222222222223,12.285714285714286,5.0,1.3333333333333333
2015-03,2.75,0.0,1.25,2.625,1.6666666666666667,3.0
2015-04,0.2222222222222222,0.0,0.5714285714285714,1.8888888888888888,3.0,0.5714285714285714
2015-05,0.0,2.4285714285714284,0.0,1.4545454545454546,12.285714285714286,5.0
2015-06,1.4,2.75,0.0,1.8,2.625,1.6666666666666667
2015-07,1.0,0.2222222222222222,0.0,0.75,1.8888888888888888,3.0
2015-08,0.2,0.0,2.4285714285714284,1.9,1.4545454545454546,12.285714285714286
2015-09,0.0,1.4,2.75,1.5,1.8,2.625
2015-10,0.16666666666666666,1.0,0.2222222222222222,1.0,0.75,1.8888888888888888
2015-11,0.0,0.2,0.0,1.2,1.9,1.4545454545454546
2015-12,0.09090909090909091,0.0,1.4,1.3636363636363635,1.5,1.8
