train_dates,train_actuals,train_predictions,test_dates,test_actuals,test_predictions,train_rmse,test_rmse
2009-04-01,5.643107833433558,5.480862524344516,2014-11-01,1.3362030944802157,2.1070792437954666,1.5334271723701918,1.2788076475232684
2009-05-01,4.2323312058015095,4.535598238552614,2014-12-01,1.3362030944802157,1.8312657813682363,1.5334271723701918,1.2788076475232684
2009-06-01,5.317544041318492,4.284270677925582,2015-01-01,2.261266683910522,1.784523224901171,1.5334271723701918,1.2788076475232684
2009-07-01,3.364160566414255,4.121308888684285,2015-02-01,2.569621267443922,2.0627806147867367,1.5334271723701918,1.2788076475232684
2009-08-01,4.666416402076788,4.745485989962853,2015-03-01,2.775191037361834,2.08477581633709,1.5334271723701918,1.2788076475232684
2009-09-01,3.364160566414255,5.341800800294507,2015-04-01,5.344812133293942,2.0754489540809704,1.5334271723701918,1.2788076475232684
2009-10-01,4.3408523932160925,5.260175419901935,2015-05-01,2.569621267443922,1.823900706658692,1.5334271723701918,1.2788076475232684
2009-11-01,2.387468783526539,3.740375950223916,2015-06-01,2.0556970281127995,1.861338620288815,1.5334271723701918,1.2788076475232684
2009-12-01,3.472681853350788,3.7228703472024525,,,,1.5334271723701918,1.2788076475232684
2010-01-01,3.5400052123099006,3.397023369789836,,,,1.5334271723701918,1.2788076475232684
2010-02-01,1.501820421455308,2.7775572606362853,,,,1.5334271723701918,1.2788076475232684
2010-03-01,1.9309119580339116,2.9456351026280463,,,,1.5334271723701918,1.2788076475232684
2010-04-01,2.252730592956424,2.9568475010239794,,,,1.5334271723701918,1.2788076475232684
2010-05-01,2.145457683545542,4.30966513943894,,,,1.5334271723701918,1.2788076475232684
2010-06-01,5.3636443533550455,4.861421567296675,,,,1.5334271723701918,1.2788076475232684
2010-07-01,7.187283146092966,6.017957747697628,,,,1.5334271723701918,1.2788076475232684
2010-08-01,10.190924959551328,6.821676333756704,,,,1.5334271723701918,1.2788076475232684
2010-09-01,12.229109631963318,7.499357353935839,,,,1.5334271723701918,1.2788076475232684
2010-10-01,13.838202449683655,8.239713828939099,,,,1.5334271723701918,1.2788076475232684
2010-11-01,9.761832860436702,8.860398269501987,,,,1.5334271723701918,1.2788076475232684
2010-12-01,7.830920581767168,9.284268585454013,,,,1.5334271723701918,1.2788076475232684
2011-01-01,6.168860713527689,5.911157138245505,,,,1.5334271723701918,1.2788076475232684
2011-02-01,5.105264158974821,5.590747152169743,,,,1.5334271723701918,1.2788076475232684
2011-03-01,6.487939776075726,5.153411744399137,,,,1.5334271723701918,1.2788076475232684
2011-04-01,5.424343036799884,4.488711971358959,,,,1.5334271723701918,1.2788076475232684
2011-05-01,2.658991654753761,3.7155912974281513,,,,1.5334271723701918,1.2788076475232684
2011-06-01,4.786184838268603,4.138545763477234,,,,1.5334271723701918,1.2788076475232684
2011-07-01,4.998904723105923,5.103592861152589,,,,1.5334271723701918,1.2788076475232684
2011-08-01,6.062500979997643,5.832722479933287,,,,1.5334271723701918,1.2788076475232684
2011-09-01,9.253291615850033,6.178227987858195,,,,1.5334271723701918,1.2788076475232684
2011-10-01,9.359650794246114,7.908363532543415,,,,1.5334271723701918,1.2788076475232684
2011-11-01,7.657896709583474,8.386779186717733,,,,1.5334271723701918,1.2788076475232684
2011-12-01,9.040572453511762,6.360050927012389,,,,1.5334271723701918,1.2788076475232684
2012-01-01,9.297402234837161,5.569094937716457,,,,1.5334271723701918,1.2788076475232684
2012-02-01,7.71261721668669,5.029698371415995,,,,1.5334271723701918,1.2788076475232684
2012-03-01,5.810875906654019,5.247443550248041,,,,1.5334271723701918,1.2788076475232684
2012-04-01,4.543048483836357,3.716946659570924,,,,1.5334271723701918,1.2788076475232684
2012-05-01,4.860005596066051,3.7623546478653975,,,,1.5334271723701918,1.2788076475232684
2012-06-01,2.535654962849616,3.4237697848181394,,,,1.5334271723701918,1.2788076475232684
2012-07-01,2.6413072159328066,4.1836578145082015,,,,1.5334271723701918,1.2788076475232684
2012-08-01,3.4865255961345385,4.173822915948686,,,,1.5334271723701918,1.2788076475232684
2012-09-01,2.535654962849616,3.8134229563218374,,,,1.5334271723701918,1.2788076475232684
2012-10-01,2.218698061361555,3.6271172143365313,,,,1.5334271723701918,1.2788076475232684
2012-11-01,2.852611875645544,2.9336897195126994,,,,1.5334271723701918,1.2788076475232684
2012-12-01,2.324350406272944,2.574228712019145,,,,1.5334271723701918,1.2788076475232684
2013-01-01,2.516699275113716,2.0794886506870323,,,,1.5334271723701918,1.2788076475232684
2013-02-01,3.041011780574505,2.276764730100227,,,,1.5334271723701918,1.2788076475232684
2013-03-01,2.516699275113716,2.0333792310453354,,,,1.5334271723701918,1.2788076475232684
2013-04-01,3.9847740731337575,1.9308002768455819,,,,1.5334271723701918,1.2788076475232684
2013-05-01,4.6139486398135965,2.325086283181203,,,,1.5334271723701918,1.2788076475232684
2013-06-01,3.041011780574505,1.8477019534555432,,,,1.5334271723701918,1.2788076475232684
2013-07-01,2.8312868419958668,1.9313760928809443,,,,1.5334271723701918,1.2788076475232684
2013-08-01,1.5729370988483342,2.0294705873059113,,,,1.5334271723701918,1.2788076475232684
2013-09-01,1.6777995524677998,2.0718547708314845,,,,1.5334271723701918,1.2788076475232684
2013-10-01,1.887524531900202,2.0127241761930836,,,,1.5334271723701918,1.2788076475232684
2013-11-01,2.621561712462981,1.7796825487130459,,,,1.5334271723701918,1.2788076475232684
2013-12-01,2.2021119999437513,1.8027388538600055,,,,1.5334271723701918,1.2788076475232684
2014-01-01,1.1418807731913878,1.955461699760063,,,,1.5334271723701918,1.2788076475232684
2014-02-01,1.24568810616349,2.1116611229539464,,,,1.5334271723701918,1.2788076475232684
2014-03-01,1.24568810616349,1.7437912604516725,,,,1.5334271723701918,1.2788076475232684
2014-04-01,0.8304587350244933,1.6036890482966322,,,,1.5334271723701918,1.2788076475232684
2014-05-01,1.24568810616349,1.7092641702161895,,,,1.5334271723701918,1.2788076475232684
2014-06-01,1.349495427390946,2.004023084248554,,,,1.5334271723701918,1.2788076475232684
2014-07-01,2.0761468084535823,2.0567793716866807,,,,1.5334271723701918,1.2788076475232684
2014-08-01,1.349495427390946,1.85822317435446,,,,1.5334271723701918,1.2788076475232684
2014-09-01,1.764724848156923,1.547532169106828,,,,1.5334271723701918,1.2788076475232684
2014-10-01,1.764724848156923,1.5611641867456545,,,,1.5334271723701918,1.2788076475232684
