seq_length,hidden_size,dropout,lr,batch_size,num_layers,train_rmse,test_rmse,rmse_gap,test_pred_std,test_actual_std,test_std_ratio
12,32,0.2,0.005,16,2,8.801376342773438,0.23933273553848267,-8.562043607234955,0.07520683854818344,0.32116708159446716,0.23416733176641677
12,64,0.3,0.001,4,2,8.224191665649414,0.3017297387123108,-7.922461926937103,0.7478563785552979,0.32116708159446716,2.3285586270002754
12,32,0.3,0.005,4,2,6.868249416351318,0.31129127740859985,-6.5569581389427185,0.2748439908027649,0.32116708159446716,0.8557663800358165
12,64,0.4,0.0001,4,1,6.287510871887207,0.3169916272163391,-5.970519244670868,0.7693263292312622,0.32116708159446716,2.3954084130037927
12,32,0.3,0.001,16,2,9.86926555633545,0.5015891790390015,-9.367676377296448,0.16873306035995483,0.32116708159446716,0.5253747037905072
12,64,0.4,0.0001,16,1,10.656768798828125,0.5284890532493591,-10.128279745578766,0.14511732757091522,0.32116708159446716,0.45184371589536904
12,32,0.4,0.0005,16,1,6.810227394104004,0.5313484072685242,-6.27887898683548,0.07698105275630951,0.32116708159446716,0.23969160342999388
12,16,0.2,0.0001,8,1,10.806366920471191,0.5528737902641296,-10.253493130207062,0.14843647181987762,0.32116708159446716,0.4621783499197658
12,64,0.2,0.005,8,2,7.958688259124756,0.5577297210693359,-7.40095853805542,0.33371537923812866,0.32116708159446716,1.039070933363918
12,32,0.1,0.0001,8,1,8.765295028686523,0.5582885146141052,-8.207006514072418,0.6647846102714539,0.32116708159446716,2.0699027028892933
12,32,0.0,0.0001,4,1,7.282665252685547,0.5643989443778992,-6.718266308307648,0.16176298260688782,0.32116708159446716,0.5036723620733444
12,32,0.1,0.005,4,2,9.251846313476562,0.6108628511428833,-8.64098346233368,0.17802424728870392,0.32116708159446716,0.554304153479504
12,16,0.3,0.0001,4,1,10.405451774597168,0.6176238059997559,-9.787827968597412,0.5522754788398743,0.32116708159446716,1.7195893056599874
12,8,0.4,0.001,4,2,7.709980487823486,0.6432919502258301,-7.066688537597656,0.09759524464607239,0.32116708159446716,0.3038768611077783
12,16,0.2,0.005,4,2,8.086119651794434,0.6864153146743774,-7.399704337120056,0.8783046007156372,0.32116708159446716,2.7347279688665576
9,8,0.2,0.0005,4,1,8.3876371383667,0.735366702079773,-7.652270436286926,1.98051118850708,1.7517644166946411,1.1305807845121407
12,8,0.0,0.001,16,2,8.696674346923828,0.7381660342216492,-7.958508312702179,0.17321006953716278,0.32116708159446716,0.539314517157996
12,16,0.2,0.005,16,2,8.82202434539795,0.7472518086433411,-8.074772536754608,0.29709550738334656,0.32116708159446716,0.9250496841344549
12,64,0.0,0.0001,16,2,9.647847175598145,0.7724092602729797,-8.875437915325165,0.08423637598752975,0.32116708159446716,0.26228209805727776
9,16,0.0,0.0005,16,1,9.698694229125977,0.7815187573432922,-8.917175471782684,0.9576128125190735,1.7517644166946411,0.5466561618633448
