Variable,Coefficient,Std_Error,P_Value
Intercept,2.083063469511562,0.13317094555410025,3.765511132464549e-55
C(County)[T.Kern],0.7673385477221937,0.08549409591539729,2.8247892751058413e-19
C(Season)[T.Spring],-0.37996079585814196,0.14834700497595615,0.010428204929686012
C(Season)[T.Summer],-0.19274305238306386,0.1288652015473064,0.13473312401631302
C(Season)[T.Winter],-0.16998731023518726,0.1393049676508432,0.22236896577579357
risk_mentions_rate_lag3,-0.04743245201457131,0.019586740238582895,0.015449740244868655
cv_mentions_rate_lag3,-0.03407896830055204,0.019570876485054702,0.08162920622367668
Num_Articles_lag3,-0.0766585338713777,0.011158721170555646,6.427779520279377e-12
Num_Articles_lag3:C(County)[T.Kern],0.0834134439372172,0.013899663370743621,1.9597011795292305e-09
