Variable,Coefficient,Std_Error,P_Value
Intercept,2.0770773729745784,0.13347457720993705,1.3274814982303775e-54
C(County)[T.Kern],0.7344969238654304,0.09244208979054146,1.934377614684083e-15
C(Season)[T.Spring],-0.3884895895132501,0.14971892495402686,0.009464795608544962
C(Season)[T.Summer],-0.17567859984894746,0.12864418042176343,0.17205940290708088
C(Season)[T.Winter],-0.2087191903395655,0.1404150680774606,0.13716161551525133
risk_mentions_rate_lag3,-0.04468454663221054,0.02069557071163271,0.03083963668984451
cv_mentions_rate_lag3,-0.038178402954267734,0.017685144936268948,0.03086695017334603
Num_Articles_lag3,-0.07723144031833024,0.01123216664164139,6.159255706141907e-12
Num_Articles_lag3:C(County)[T.Kern],0.08699003763750637,0.015270467603521848,1.2220652171966248e-08
